objectCount, responseTime(ms)
2, 1163
2, 1141
2, 1139
2, 1142
2, 1143
2, 1132
2, 1131
2, 1130
2, 1132
2, 1135
2, 1133
2, 1124
2, 1130
2, 1128
2, 1139
2, 1127
2, 1155
2, 1123
2, 1127
2, 1125
3, 1154
3, 1130
3, 1146
3, 1137
3, 1137
3, 1140
3, 1137
3, 1130
3, 1134
3, 1128
3, 1134
3, 1126
3, 1132
3, 1130
3, 1135
3, 1128
3, 1131
3, 1125
3, 1121
3, 1123
5, 1160
5, 1132
5, 1139
5, 1128
5, 1141
5, 1128
5, 1134
5, 1126
5, 1137
5, 1137
5, 1149
5, 1145
5, 1132
5, 1129
5, 1130
5, 1128
5, 1153
5, 1122
5, 1135
5, 1123
8, 1154
8, 1133
8, 1143
8, 1129
8, 1144
8, 1136
8, 1137
8, 1143
8, 1141
8, 1134
8, 1131
8, 1125
8, 1136
8, 1132
8, 1130
8, 1137
8, 1165
8, 1125
8, 1129
8, 1129
