objectCount, responseTime(ms)
2, 1128
2, 1119
2, 1121
2, 1117
2, 1120
2, 1114
2, 1114
2, 1115
2, 1119
2, 1115
2, 1112
2, 1114
2, 1114
2, 1113
2, 1110
2, 1111
2, 1111
2, 1111
2, 1111
2, 1111
3, 1144
3, 1132
3, 1133
3, 1133
3, 1126
3, 1127
3, 1130
3, 1127
3, 1124
3, 1125
3, 1123
3, 1122
3, 1120
3, 1121
3, 1121
3, 1120
3, 1115
3, 1114
3, 1125
3, 1118
5, 1182
5, 1163
5, 1156
5, 1160
5, 1159
5, 1146
5, 1151
5, 1149
5, 1142
5, 1142
5, 1144
5, 1136
5, 1140
5, 1136
5, 1136
5, 1134
5, 1134
5, 1132
5, 1135
5, 1135
8, 1219
8, 1205
8, 1198
8, 1187
8, 1194
8, 1189
8, 1177
8, 1178
8, 1175
8, 1177
8, 1167
8, 1169
8, 1160
8, 1162
8, 1160
8, 1152
8, 1168
8, 1152
8, 1153
8, 1150
